MAC,FABRICANTE
00-80-49   ,"NISSIN ELECTRIC CO., LTD."
8049,"NISSIN ELECTRIC CO., LTD."
00-80-7C   ,"FIBERCOM, INC."
00807C     ,"FIBERCOM, INC."
00-80-79   ,MICROBUS DESIGNS LTD.
8079,MICROBUS DESIGNS LTD.
00-80-DE   ,GIPSI S.A.
0080DE     ,GIPSI S.A.
00-80-04   ,"ANTLOW COMMUNICATIONS, LTD."
8004,"ANTLOW COMMUNICATIONS, LTD."
00-80-78   ,"PRACTICAL PERIPHERALS, INC."
8078,"PRACTICAL PERIPHERALS, INC."
00-80-40   ,JOHN FLUKE MANUFACTURING CO.
8040,JOHN FLUKE MANUFACTURING CO.
00-00-F8   ,DIGITAL EQUIPMENT CORPORATION
0000F8     ,DIGITAL EQUIPMENT CORPORATION
00-80-CE   ,BROADCAST TELEVISION SYSTEMS
0080CE     ,BROADCAST TELEVISION SYSTEMS
00-80-1A   ,BELL ATLANTIC
00801A     ,BELL ATLANTIC
00-80-3F   ,TATUNG COMPANY
00803F     ,TATUNG COMPANY
00-80-D4   ,CHASE RESEARCH LTD.
0080D4     ,CHASE RESEARCH LTD.
00-80-CB   ,FALCO DATA PRODUCTS
0080CB     ,FALCO DATA PRODUCTS
00-80-75   ,PARSYTEC GMBH
8075,PARSYTEC GMBH
00-80-EB   ,COMPCONTROL B.V.
0080EB     ,COMPCONTROL B.V.
00-80-99   ,Eaton Industries GmbH
8099,Eaton Industries GmbH
00-80-E4   ,"NORTHWEST DIGITAL SYSTEMS, INC"
800000,"NORTHWEST DIGITAL SYSTEMS, INC"
00-80-41   ,VEB KOMBINAT ROBOTRON
8041,VEB KOMBINAT ROBOTRON
00-80-C8   ,"D-LINK SYSTEMS, INC."
0080C8     ,"D-LINK SYSTEMS, INC."
00-80-36   ,REFLEX MANUFACTURING SYSTEMS
8036,REFLEX MANUFACTURING SYSTEMS
00-40-F0   ,"MicroBrain,Inc."
0040F0     ,"MicroBrain,Inc."
00-40-A7   ,ITAUTEC PHILCO S.A.
0040A7     ,ITAUTEC PHILCO S.A.
00-40-D3   ,KIMPSION INTERNATIONAL CORP.
0040D3     ,KIMPSION INTERNATIONAL CORP.
00-40-65   ,GTE SPACENET
4065,GTE SPACENET
00-40-CB   ,LANWAN TECHNOLOGIES
0040CB     ,LANWAN TECHNOLOGIES
00-40-41   ,FUJIKURA LTD.
4041,FUJIKURA LTD.
00-40-53   ,AMPRO COMPUTERS
4053,AMPRO COMPUTERS
00-80-32   ,"ACCESS CO., LTD."
8032,"ACCESS CO., LTD."
00-80-CF   ,EMBEDDED PERFORMANCE INC.
0080CF     ,EMBEDDED PERFORMANCE INC.
00-80-31   ,"BASYS, CORP."
8031,"BASYS, CORP."
00-80-3A   ,"VARITYPER, INC."
00803A     ,"VARITYPER, INC."
00-80-7E   ,SOUTHERN PACIFIC LTD.
00807E     ,SOUTHERN PACIFIC LTD.
00-80-29   ,"EAGLE TECHNOLOGY, INC."
8029,"EAGLE TECHNOLOGY, INC."
00-80-2F   ,NATIONAL INSTRUMENTS CORP.
00802F     ,NATIONAL INSTRUMENTS CORP.
00-80-51   ,FIBERMUX
8051,FIBERMUX
00-80-FD   ,EXSCEED CORPRATION
0080FD     ,EXSCEED CORPRATION
00-40-08   ,A PLUS INFO CORPORATION
4008,A PLUS INFO CORPORATION
00-40-E9   ,"ACCORD SYSTEMS, INC."
40000000000,"ACCORD SYSTEMS, INC."
00-40-B5   ,VIDEO TECHNOLOGY COMPUTERS LTD
0040B5     ,VIDEO TECHNOLOGY COMPUTERS LTD
00-40-12   ,"WINDATA, INC."
4012,"WINDATA, INC."
00-40-1C   ,"AST RESEARCH, INC."
00401C     ,"AST RESEARCH, INC."
00-40-67   ,OMNIBYTE CORPORATION
4067,OMNIBYTE CORPORATION
00-40-35   ,OPCOM
4035,OPCOM
00-40-EA   ,PLAIN TREE SYSTEMS INC
0040EA     ,PLAIN TREE SYSTEMS INC
00-40-EF   ,"HYPERCOM, INC."
0040EF     ,"HYPERCOM, INC."
00-40-93   ,PAXDATA NETWORKS LTD.
4093,PAXDATA NETWORKS LTD.
00-40-EC   ,MIKASA SYSTEM ENGINEERING
0040EC     ,MIKASA SYSTEM ENGINEERING
00-80-B9   ,ARCHE TECHNOLIGIES INC.
0080B9     ,ARCHE TECHNOLIGIES INC.
00-80-A7   ,Honeywell International Inc
0080A7     ,Honeywell International Inc
00-40-DA   ,TELSPEC LTD
0040DA     ,TELSPEC LTD
00-40-83   ,TDA INDUSTRIA DE PRODUTOS
4083,TDA INDUSTRIA DE PRODUTOS
00-40-C8   ,MILAN TECHNOLOGY CORPORATION
0040C8     ,MILAN TECHNOLOGY CORPORATION
00-40-BC   ,ALGORITHMICS LTD.
0040BC     ,ALGORITHMICS LTD.
00-40-2F   ,XLNT DESIGNS INC.
00402F     ,XLNT DESIGNS INC.
00-40-5D   ,"STAR-TEK, INC."
00405D     ,"STAR-TEK, INC."
00-40-5F   ,AFE COMPUTERS LTD.
00405F     ,AFE COMPUTERS LTD.
00-40-43   ,Nokia Siemens Networks GmbH & Co. KG.
4043,Nokia Siemens Networks GmbH & Co. KG.
00-80-0D   ,VOSSWINKEL F.U.
00800D     ,VOSSWINKEL F.U.
00-80-D1   ,KIMTRON CORPORATION
0080D1     ,KIMTRON CORPORATION
00-80-5D   ,CANSTAR
00805D     ,CANSTAR
00-80-94   ,ALFA LAVAL AUTOMATION AB
8094,ALFA LAVAL AUTOMATION AB
00-80-47   ,IN-NET CORP.
8047,IN-NET CORP.
00-80-64   ,WYSE TECHNOLOGY LLC
8064,WYSE TECHNOLOGY LLC
00-80-C5   ,NOVELLCO DE MEXICO
0080C5     ,NOVELLCO DE MEXICO
00-80-AC   ,"IMLOGIX, DIVISION OF GENESYS"
0080AC     ,"IMLOGIX, DIVISION OF GENESYS"
00-80-8C   ,"NetScout Systems, Inc."
00808C     ,"NetScout Systems, Inc."
00-00-52   ,"Intrusion.com, Inc."
52,"Intrusion.com, Inc."
00-00-BD   ,MITSUBISHI CABLE COMPANY
0000BD     ,MITSUBISHI CABLE COMPANY
00-00-37   ,OXFORD METRICS LIMITED
37,OXFORD METRICS LIMITED
00-00-3F   ,"SYNTREX, INC."
00003F     ,"SYNTREX, INC."
08-00-7C   ,VITALINK COMMUNICATIONS CORP.
08007C     ,VITALINK COMMUNICATIONS CORP.
08-00-76   ,PC LAN TECHNOLOGIES
80076,PC LAN TECHNOLOGIES
08-00-72   ,XEROX CORP UNIV GRANT PROGRAM
80072,XEROX CORP UNIV GRANT PROGRAM
08-00-70   ,MITSUBISHI ELECTRIC CORP.
80070,MITSUBISHI ELECTRIC CORP.
08-00-68   ,RIDGE COMPUTERS
80068,RIDGE COMPUTERS
08-00-62   ,General Dynamics
80062,General Dynamics
08-00-57   ,Evans & Sutherland
80057,Evans & Sutherland
00-00-10   ,SYTEK INC.
10,SYTEK INC.
00-00-33   ,EGAN MACHINERY COMPANY
33,EGAN MACHINERY COMPANY
00-00-80   ,CRAY COMMUNICATIONS A/S
80,CRAY COMMUNICATIONS A/S
00-00-FD   ,HIGH LEVEL HARDWARE
0000FD     ,HIGH LEVEL HARDWARE
08-00-8C   ,NETWORK RESEARCH CORPORATION
08008C     ,NETWORK RESEARCH CORPORATION
08-00-89   ,Kinetics
80089,Kinetics
08-00-87   ,XYPLEX
80087,XYPLEX
08-00-84   ,TOMEN ELECTRONICS CORP.
80084,TOMEN ELECTRONICS CORP.
00-00-0D   ,FIBRONICS LTD.
00000D     ,FIBRONICS LTD.
00-00-4F   ,"LOGICRAFT, INC."
00004F     ,"LOGICRAFT, INC."
00-00-15   ,DATAPOINT CORPORATION
15,DATAPOINT CORPORATION
00-00-C7   ,ARIX CORPORATION
0000C7     ,ARIX CORPORATION
00-00-1C   ,BELL TECHNOLOGIES
00001C     ,BELL TECHNOLOGIES
00-00-1A   ,ADVANCED MICRO DEVICES
00001A     ,ADVANCED MICRO DEVICES
00-00-82   ,LECTRA SYSTEMES SA
82,LECTRA SYSTEMES SA
00-00-DA   ,ATEX
0000DA     ,ATEX
00-00-DB   ,British Telecommunications plc
0000DB     ,British Telecommunications plc
00-00-C1   ,Madge Ltd.
0000C1     ,Madge Ltd.
00-00-F6   ,APPLIED MICROSYSTEMS CORP.
0000F6     ,APPLIED MICROSYSTEMS CORP.
08-00-23   ,"Panasonic Communications Co., Ltd."
80023,"Panasonic Communications Co., Ltd."
08-00-22   ,NBI INC.
80022,NBI INC.
08-00-19   ,GENERAL ELECTRIC CORPORATION
80019,GENERAL ELECTRIC CORPORATION
08-00-4D   ,CORVUS SYSTEMS INC.
08004D     ,CORVUS SYSTEMS INC.
08-00-3E   ,CODEX CORPORATION
08003E     ,CODEX CORPORATION
08-00-33   ,BAUSCH & LOMB
80033,BAUSCH & LOMB
08-00-2F   ,PRIME COMPUTER INC.
08002F     ,PRIME COMPUTER INC.
08-00-32   ,TIGAN INCORPORATED
80032,TIGAN INCORPORATED
08-00-2E   ,METAPHOR COMPUTER SYSTEMS
08002E     ,METAPHOR COMPUTER SYSTEMS
00-00-D2   ,"SBE, INC."
0000D2     ,"SBE, INC."
00-00-6B   ,SILICON GRAPHICS INC./MIPS
00006B     ,SILICON GRAPHICS INC./MIPS
00-00-CC   ,"DENSAN CO., LTD."
0000CC     ,"DENSAN CO., LTD."
00-00-CE   ,MEGADATA CORP.
0000CE     ,MEGADATA CORP.
00-00-EF   ,KTI
0000EF     ,KTI
00-00-0F   ,"NEXT, INC."
00000F     ,"NEXT, INC."
00-00-C6   ,EON SYSTEMS
0000C6     ,EON SYSTEMS
00-00-D5   ,MICROGNOSIS INTERNATIONAL
0000D5     ,MICROGNOSIS INTERNATIONAL
00-00-78   ,LABTAM LIMITED
78,LABTAM LIMITED
00-00-EB   ,MATSUSHITA COMM. IND. CO. LTD.
0000EB     ,MATSUSHITA COMM. IND. CO. LTD.
00-00-9C   ,ROLM MIL-SPEC COMPUTERS
00009C     ,ROLM MIL-SPEC COMPUTERS
00-00-32   ,Marconi plc
32,Marconi plc
00-00-69   ,CONCORD COMMUNICATIONS INC
69,CONCORD COMMUNICATIONS INC
00-00-8B   ,INFOTRON
00008B     ,INFOTRON
00-00-BE   ,THE NTI GROUP
0000BE     ,THE NTI GROUP
00-00-4C   ,NEC CORPORATION
00004C     ,NEC CORPORATION
00-00-3B   ,"i Controls, Inc."
00003B     ,"i Controls, Inc."
00-00-FE   ,ANNAPOLIS MICRO SYSTEMS
0000FE     ,ANNAPOLIS MICRO SYSTEMS
08-00-13   ,Exxon
80013,Exxon
02-BB-01   ,OCTOTHORPE CORP.
02BB01     ,OCTOTHORPE CORP.
00-00-A6   ,NETWORK GENERAL CORPORATION
0000A6     ,NETWORK GENERAL CORPORATION
00-DD-06   ,UNGERMANN-BASS INC.
00DD06     ,UNGERMANN-BASS INC.
00-DD-0B   ,UNGERMANN-BASS INC.
00DD0B     ,UNGERMANN-BASS INC.
00-00-07   ,XEROX CORPORATION
7,XEROX CORPORATION
08-00-14   ,EXCELAN
80014,EXCELAN
08-00-0F   ,MITEL CORPORATION
08000F     ,MITEL CORPORATION
00-00-D7   ,DARTMOUTH COLLEGE
0000D7     ,DARTMOUTH COLLEGE
00-DD-00   ,UNGERMANN-BASS INC.
00DD00     ,UNGERMANN-BASS INC.
08-00-0A   ,NESTAR SYSTEMS INCORPORATED
08000A     ,NESTAR SYSTEMS INCORPORATED
08-00-1C   ,KDD-KOKUSAI DEBNSIN DENWA CO.
08001C     ,KDD-KOKUSAI DEBNSIN DENWA CO.
02-AA-3C   ,OLIVETTI TELECOMM SPA (OLTECO)
02AA3C     ,OLIVETTI TELECOMM SPA (OLTECO)
08-00-1D   ,ABLE COMMUNICATIONS INC.
08001D     ,ABLE COMMUNICATIONS INC.
08-00-18   ,PIRELLI FOCOM NETWORKS
80018,PIRELLI FOCOM NETWORKS
08-00-15   ,STC BUSINESS SYSTEMS
80015,STC BUSINESS SYSTEMS
00-DD-03   ,UNGERMANN-BASS INC.
00DD03     ,UNGERMANN-BASS INC.
00-80-1F   ,KRUPP ATLAS ELECTRONIK GMBH
00801F     ,KRUPP ATLAS ELECTRONIK GMBH
00-40-8E   ,Tattile SRL 
00408E     ,Tattile SRL 
00-80-0F   ,STANDARD MICROSYSTEMS
00800F     ,STANDARD MICROSYSTEMS
08-00-65   ,GENRAD INC.
80065,GENRAD INC.
00-22-75   ,Belkin International Inc.
2275,Belkin International Inc.
14-91-82   ,Belkin International Inc.
149182,Belkin International Inc.
70-10-6F   ,Hewlett Packard Enterprise
70106F     ,Hewlett Packard Enterprise
98-8B-5D   ,Sagemcom Broadband SAS
988B5D     ,Sagemcom Broadband SAS
94-FE-F4   ,Sagemcom Broadband SAS
94FEF4     ,Sagemcom Broadband SAS
C8-CD-72   ,Sagemcom Broadband SAS
C8CD72     ,Sagemcom Broadband SAS
E8-BE-81   ,Sagemcom Broadband SAS
E8BE81     ,Sagemcom Broadband SAS
28-FA-A0   ,"vivo Mobile Communication Co., Ltd."
28FAA0     ,"vivo Mobile Communication Co., Ltd."
3C-A3-48   ,"vivo Mobile Communication Co., Ltd."
3CA348     ,"vivo Mobile Communication Co., Ltd."
F4-29-81   ,"vivo Mobile Communication Co., Ltd."
F42981     ,"vivo Mobile Communication Co., Ltd."
C4-28-2D   ,Embedded Intellect Pty Ltd
C4282D     ,Embedded Intellect Pty Ltd
00-23-48   ,Sagemcom Broadband SAS
2348,Sagemcom Broadband SAS
B8-70-F4   ,"COMPAL INFORMATION (KUNSHAN) CO., LTD."
B870F4     ,"COMPAL INFORMATION (KUNSHAN) CO., LTD."
00-0F-B0   ,"COMPAL ELECTRONICS, INC."
000FB0     ,"COMPAL ELECTRONICS, INC."
1C-75-08   ,"COMPAL INFORMATION (KUNSHAN) CO., LTD."
1C7508     ,"COMPAL INFORMATION (KUNSHAN) CO., LTD."
8C-0E-E3   ,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD"
8C0EE3     ,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD"
A4-4F-29   ,IEEE Registration Authority
A44F29     ,IEEE Registration Authority
80-0A-80   ,IEEE Registration Authority
800A80     ,IEEE Registration Authority
14-1F-BA   ,IEEE Registration Authority
141FBA     ,IEEE Registration Authority
A0-BB-3E   ,IEEE Registration Authority
A0BB3E     ,IEEE Registration Authority
88-4A-EA   ,Texas Instruments
884AEA     ,Texas Instruments
38-29-DD   ,ONvocal Inc
3829DD     ,ONvocal Inc
F8-18-97   ,2Wire Inc
F81897     ,2Wire Inc
EC-F4-BB   ,Dell Inc.
ECF4BB     ,Dell Inc.
D0-67-E5   ,Dell Inc.
D067E5     ,Dell Inc.
18-A9-9B   ,Dell Inc.
18A99B     ,Dell Inc.
F8-DB-88   ,Dell Inc.
F8DB88     ,Dell Inc.
18-FB-7B   ,Dell Inc.
18FB7B     ,Dell Inc.
00-14-95   ,2Wire Inc
1495,2Wire Inc
74-E6-E2   ,Dell Inc.
74E6E2     ,Dell Inc.
10-98-36   ,Dell Inc.
109836,Dell Inc.
44-A8-42   ,Dell Inc.
44A842     ,Dell Inc.
34-E6-D7   ,Dell Inc.
34E6D7     ,Dell Inc.
00-0B-DB   ,Dell Inc.
000BDB     ,Dell Inc.
00-11-43   ,Dell Inc.
1143,Dell Inc.
00-18-8B   ,Dell Inc.
00188B     ,Dell Inc.
D4-BE-D9   ,Dell Inc.
D4BED9     ,Dell Inc.
00-26-50   ,2Wire Inc
2650,2Wire Inc
00-21-7C   ,2Wire Inc
00217C     ,2Wire Inc
00-1F-B3   ,2Wire Inc
001FB3     ,2Wire Inc
64-0F-28   ,2Wire Inc
640F28     ,2Wire Inc
00-1A-A0   ,Dell Inc.
001AA0     ,Dell Inc.
00-21-70   ,Dell Inc.
2170,Dell Inc.
00-26-B9   ,Dell Inc.
0026B9     ,Dell Inc.
A4-BA-DB   ,Dell Inc.
A4BADB     ,Dell Inc.
00-1E-4F   ,Dell Inc.
001E4F     ,Dell Inc.
5C-F9-DD   ,Dell Inc.
5CF9DD     ,Dell Inc.
90-7A-F1   ,Wally
907AF1     ,Wally
28-10-1B   ,MagnaCom
28101B     ,MagnaCom
00-06-5B   ,Dell Inc.
00065B     ,Dell Inc.
44-87-23   ,HOYA SERVICE CORPORATION
448723,HOYA SERVICE CORPORATION
80-6C-1B   ,"Motorola Mobility LLC, a Lenovo Company"
806C1B     ,"Motorola Mobility LLC, a Lenovo Company"
A4-70-D6   ,"Motorola Mobility LLC, a Lenovo Company"
A470D6     ,"Motorola Mobility LLC, a Lenovo Company"
34-07-FB   ,Ericsson AB
3407FB     ,Ericsson AB
00-1B-21   ,Intel Corporate
001B21     ,Intel Corporate
00-1B-77   ,Intel Corporate
001B77     ,Intel Corporate
18-FF-0F   ,Intel Corporate
18FF0F     ,Intel Corporate
58-A8-39   ,Intel Corporate
58A839     ,Intel Corporate
A4-34-D9   ,Intel Corporate
A434D9     ,Intel Corporate
00-21-5D   ,Intel Corporate
00215D     ,Intel Corporate
00-16-76   ,Intel Corporate
1676,Intel Corporate
98-4F-EE   ,Intel Corporate
984FEE     ,Intel Corporate
E8-2A-EA   ,Intel Corporate
E82AEA     ,Intel Corporate
60-57-18   ,Intel Corporate
605718,Intel Corporate
C4-D9-87   ,Intel Corporate
C4D987     ,Intel Corporate
B4-B6-76   ,Intel Corporate
B4B676     ,Intel Corporate
8C-70-5A   ,Intel Corporate
8C705A     ,Intel Corporate
9C-4E-36   ,Intel Corporate
9C4E36     ,Intel Corporate
54-14-73   , Wingtech Group (HongKong）Limited
541473, Wingtech Group (HongKong）Limited
14-14-4B   ,"FUJIAN STAR-NET COMMUNICATION CO.,LTD"
14144B     ,"FUJIAN STAR-NET COMMUNICATION CO.,LTD"
00-1C-50   ,"TCL Technoly Electronics (Huizhou) Co., Ltd."
001C50     ,"TCL Technoly Electronics (Huizhou) Co., Ltd."
00-AA-01   ,Intel Corporation
00AA01     ,Intel Corporation
5C-36-B8   ,"TCL King Electrical Appliances (Huizhou) Co., Ltd"
5C36B8     ,"TCL King Electrical Appliances (Huizhou) Co., Ltd"
00-90-27   ,Intel Corporation
9027,Intel Corporation
A0-88-69   ,Intel Corporate
A08869     ,Intel Corporate
00-C2-C6   ,Intel Corporate
00C2C6     ,Intel Corporate
B8-8A-60   ,Intel Corporate
B88A60     ,Intel Corporate
00-A0-C9   ,Intel Corporation
00A0C9     ,Intel Corporation
7C-7A-91   ,Intel Corporate
7C7A91     ,Intel Corporate
AC-7B-A1   ,Intel Corporate
AC7BA1     ,Intel Corporate
AC-72-89   ,Intel Corporate
AC7289     ,Intel Corporate
60-6C-66   ,Intel Corporate
606C66     ,Intel Corporate
4C-80-93   ,Intel Corporate
4C8093     ,Intel Corporate
BC-77-37   ,Intel Corporate
BC7737     ,Intel Corporate
A0-88-B4   ,Intel Corporate
A088B4     ,Intel Corporate
00-27-0E   ,Intel Corporate
00270E     ,Intel Corporate
00-1D-E0   ,Intel Corporate
001DE0     ,Intel Corporate
00-24-D6   ,Intel Corporate
0024D6     ,Intel Corporate
D8-FC-93   ,Intel Corporate
D8FC93     ,Intel Corporate
E8-B1-FC   ,Intel Corporate
E8B1FC     ,Intel Corporate
18-64-72   ,Aruba Networks
186472,Aruba Networks
00-24-6C   ,Aruba Networks
00246C     ,Aruba Networks
64-D9-54   ,Taicang T&W Electronics
64D954     ,Taicang T&W Electronics
74-C6-3B   ,AzureWave Technology Inc.
74C63B     ,AzureWave Technology Inc.
CC-1F-C4   ,InVue
CC1FC4     ,InVue
A0-D3-7A   ,Intel Corporate
A0D37A     ,Intel Corporate
98-5F-D3   ,Microsoft Corporation
985FD3     ,Microsoft Corporation
00-D0-AC   ,"Commscope, Inc"
00D0AC     ,"Commscope, Inc"
00-25-D3   ,AzureWave Technology Inc.
0025D3     ,AzureWave Technology Inc.
74-2F-68   ,AzureWave Technology Inc.
742F68     ,AzureWave Technology Inc.
DC-85-DE   ,AzureWave Technology Inc.
DC85DE     ,AzureWave Technology Inc.
E0-B9-A5   ,AzureWave Technology Inc.
E0B9A5     ,AzureWave Technology Inc.
E0-41-36   ,MitraStar Technology Corp.
E04136     ,MitraStar Technology Corp.
E0-B2-F1   ,FN-LINK TECHNOLOGY LIMITED
E0B2F1     ,FN-LINK TECHNOLOGY LIMITED
00-26-FC   ,AcSiP Technology Corp.
0026FC     ,AcSiP Technology Corp.
B8-61-6F   ,Accton Technology Corp
B8616F     ,Accton Technology Corp
00-10-B5   ,Accton Technology Corp
0010B5     ,Accton Technology Corp
00-A0-2F   ,ADB Broadband Italia
00A02F     ,ADB Broadband Italia
64-87-D7   ,ADB Broadband Italia
6487D7     ,ADB Broadband Italia
00-E0-98   ,AboCom
0,AboCom
F0-A2-25   ,Private
F0A225     ,Private
00-00-B1   ,Alpha Micro
0000B1     ,Alpha Micro
00-15-77   ,"Allied Telesis, Inc."
1577,"Allied Telesis, Inc."
AC-E0-10   ,Liteon Technology Corporation
ACE010     ,Liteon Technology Corporation
EC-08-6B   ,"TP-LINK TECHNOLOGIES CO.,LTD."
EC086B     ,"TP-LINK TECHNOLOGIES CO.,LTD."
00-15-9A   ,"ARRIS Group, Inc."
00159A     ,"ARRIS Group, Inc."
00-19-2C   ,"ARRIS Group, Inc."
00192C     ,"ARRIS Group, Inc."
24-21-AB   ,Sony Mobile Communications AB
2421AB     ,Sony Mobile Communications AB
6C-23-B9   ,Sony Mobile Communications AB
6C23B9     ,Sony Mobile Communications AB
58-17-0C   ,Sony Mobile Communications AB
58170C     ,Sony Mobile Communications AB
B8-F9-34   ,Sony Mobile Communications AB
B8F934     ,Sony Mobile Communications AB
20-54-76   ,Sony Mobile Communications AB
205476,Sony Mobile Communications AB
30-39-26   ,Sony Mobile Communications AB
303926,Sony Mobile Communications AB
00-EB-2D   ,Sony Mobile Communications AB
00EB2D     ,Sony Mobile Communications AB
B0-05-94   ,Liteon Technology Corporation
B00594     ,Liteon Technology Corporation
40-F0-2F   ,Liteon Technology Corporation
40F02F     ,Liteon Technology Corporation
E8-61-7E   ,Liteon Technology Corporation
E8617E     ,Liteon Technology Corporation
28-E3-47   ,Liteon Technology Corporation
"1,79769313486232E+308",Liteon Technology Corporation
18-CF-5E   ,Liteon Technology Corporation
18CF5E     ,Liteon Technology Corporation
D0-DF-9A   ,Liteon Technology Corporation
D0DF9A     ,Liteon Technology Corporation
90-B1-34   ,"ARRIS Group, Inc."
90B134     ,"ARRIS Group, Inc."
3C-43-8E   ,"ARRIS Group, Inc."
3C438E     ,"ARRIS Group, Inc."
E8-6D-52   ,"ARRIS Group, Inc."
E86D52     ,"ARRIS Group, Inc."
00-15-D0   ,"ARRIS Group, Inc."
0015D0     ,"ARRIS Group, Inc."
00-13-A9   ,Sony Corporation
0013A9     ,Sony Corporation
00-21-9E   ,Sony Mobile Communications AB
00219E     ,Sony Mobile Communications AB
00-1E-45   ,Sony Mobile Communications AB
"1,00000000000000E+45",Sony Mobile Communications AB
00-18-13   ,Sony Mobile Communications AB
1813,Sony Mobile Communications AB
00-08-0E   ,"ARRIS Group, Inc."
00080E     ,"ARRIS Group, Inc."
00-50-E3   ,"ARRIS Group, Inc."
50000,"ARRIS Group, Inc."
94-CC-B9   ,"ARRIS Group, Inc."
94CCB9     ,"ARRIS Group, Inc."
40-B7-F3   ,"ARRIS Group, Inc."
40B7F3     ,"ARRIS Group, Inc."
20-E5-64   ,"ARRIS Group, Inc."
"1,79769313486232E+308","ARRIS Group, Inc."
F8-7B-7A   ,"ARRIS Group, Inc."
F87B7A     ,"ARRIS Group, Inc."
00-23-A3   ,"ARRIS Group, Inc."
0023A3     ,"ARRIS Group, Inc."
64-ED-57   ,"ARRIS Group, Inc."
64ED57     ,"ARRIS Group, Inc."
00-23-EE   ,"ARRIS Group, Inc."
0023EE     ,"ARRIS Group, Inc."
00-21-43   ,"ARRIS Group, Inc."
2143,"ARRIS Group, Inc."
58-56-E8   ,"ARRIS Group, Inc."
585600000000,"ARRIS Group, Inc."
00-25-F1   ,"ARRIS Group, Inc."
0025F1     ,"ARRIS Group, Inc."
00-23-AF   ,"ARRIS Group, Inc."
0023AF     ,"ARRIS Group, Inc."
00-1A-DE   ,"ARRIS Group, Inc."
001ADE     ,"ARRIS Group, Inc."
00-1E-46   ,"ARRIS Group, Inc."
"1,00000000000000E+46","ARRIS Group, Inc."
00-18-C0   ,"ARRIS Group, Inc."
0018C0     ,"ARRIS Group, Inc."
00-1A-66   ,"ARRIS Group, Inc."
001A66     ,"ARRIS Group, Inc."
00-21-63   ,ASKEY COMPUTER CORP
2163,ASKEY COMPUTER CORP
E8-39-DF   ,ASKEY COMPUTER CORP
E839DF     ,ASKEY COMPUTER CORP
00-13-8F   ,Asiarock Technology Limited
00138F     ,Asiarock Technology Limited
2C-B0-5D   ,NETGEAR
2CB05D     ,NETGEAR
00-14-6C   ,NETGEAR
00146C     ,NETGEAR
1C-69-A5   ,BlackBerry RTS
1C69A5     ,BlackBerry RTS
00-30-67   ,BIOSTAR Microtech Int'l Corp.
3067,BIOSTAR Microtech Int'l Corp.
24-65-11   ,AVM GmbH
246511,AVM GmbH
00-23-08   ,Arcadyan Technology Corporation
2308,Arcadyan Technology Corporation
88-03-55   ,Arcadyan Technology Corporation
880355,Arcadyan Technology Corporation
A4-2B-8C   ,NETGEAR
A42B8C     ,NETGEAR
04-A1-51   ,NETGEAR
04A151     ,NETGEAR
28-C6-8E   ,NETGEAR
28C68E     ,NETGEAR
5C-DC-96   ,Arcadyan Technology Corporation
5CDC96     ,Arcadyan Technology Corporation
50-4A-6E   ,NETGEAR
504A6E     ,NETGEAR
D0-D0-4B   ,"HUAWEI TECHNOLOGIES CO.,LTD"
D0D04B     ,"HUAWEI TECHNOLOGIES CO.,LTD"
00-1D-00   ,"Brivo Systems, LLC"
001D00     ,"Brivo Systems, LLC"
00-10-E7   ,"Breezecom, Ltd."
100000000,"Breezecom, Ltd."
5C-96-56   ,AzureWave Technology Inc.
5C9656     ,AzureWave Technology Inc.
08-81-F4   ,Juniper Networks
0881F4     ,Juniper Networks
A8-D0-E5   ,Juniper Networks
A8D0E5     ,Juniper Networks
64-87-88   ,Juniper Networks
648788,Juniper Networks
28-C0-DA   ,Juniper Networks
28C0DA     ,Juniper Networks
80-71-1F   ,Juniper Networks
80711F     ,Juniper Networks
00-23-9C   ,Juniper Networks
00239C     ,Juniper Networks
00-1D-B5   ,Juniper Networks
001DB5     ,Juniper Networks
7C-4C-A5   ,BSkyB Ltd
7C4CA5     ,BSkyB Ltd
90-21-06   ,BSkyB Ltd
902106,BSkyB Ltd
A4-C7-DE   ,"Cambridge Industries(Group) Co.,Ltd."
A4C7DE     ,"Cambridge Industries(Group) Co.,Ltd."
34-37-59   ,zte corporation
343759,zte corporation
00-40-2A   ,Canoga Perkins Corporation
00402A     ,Canoga Perkins Corporation
38-2D-E8   ,"Samsung Electronics Co.,Ltd"
382DE8     ,"Samsung Electronics Co.,Ltd"
D0-87-E2   ,"Samsung Electronics Co.,Ltd"
D087E2     ,"Samsung Electronics Co.,Ltd"
20-55-31   ,"Samsung Electronics Co.,Ltd"
205531,"Samsung Electronics Co.,Ltd"
54-40-AD   ,"Samsung Electronics Co.,Ltd"
5440AD     ,"Samsung Electronics Co.,Ltd"
84-2E-27   ,"Samsung Electronics Co.,Ltd"
"8,42000000000000E+29","Samsung Electronics Co.,Ltd"
50-F0-D3   ,"Samsung Electronics Co.,Ltd"
50F0D3     ,"Samsung Electronics Co.,Ltd"
84-11-9E   ,"Samsung Electronics Co.,Ltd"
84119E     ,"Samsung Electronics Co.,Ltd"
08-EC-A9   ,"Samsung Electronics Co.,Ltd"
